,statisticcat_desc,state_alpha,year,class_desc,short_desc,group_desc,commodity_desc,Value
22,AREA HARVESTED,CA,2000.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,95000
23,AREA HARVESTED,CA,1999.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,100000
24,AREA HARVESTED,CA,1998.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,125000
25,AREA HARVESTED,CA,1997.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,150000
26,AREA HARVESTED,KS,2022.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,5000
27,AREA HARVESTED,KS,2021.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,4000
28,AREA HARVESTED,KS,2020.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,6000
29,AREA HARVESTED,KS,2019.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,4000
30,AREA HARVESTED,KS,2018.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,6000
31,AREA HARVESTED,KS,2015.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,8000
32,AREA HARVESTED,KS,2014.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,10000
33,AREA HARVESTED,KS,2013.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,11000
34,AREA HARVESTED,KS,2012.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,7000
35,AREA HARVESTED,KS,2011.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,6000
36,AREA HARVESTED,KS,2010.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,7000
37,AREA HARVESTED,KS,2009.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,9000
38,AREA HARVESTED,KS,2008.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,10000
39,AREA HARVESTED,KS,2007.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,13000
40,AREA HARVESTED,KS,2006.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,18000
41,AREA HARVESTED,KS,2005.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,14000
42,AREA HARVESTED,KS,2004.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,12000
43,AREA HARVESTED,KS,2003.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,8000
44,AREA HARVESTED,KS,2002.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,7000
45,AREA HARVESTED,KS,2001.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,8000
46,AREA HARVESTED,KS,2000.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,7000
47,AREA HARVESTED,KS,1999.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,13000
48,AREA HARVESTED,KS,1998.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,8000
49,AREA HARVESTED,KS,1997.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,8000
50,AREA HARVESTED,MN,2022.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,55000
51,AREA HARVESTED,MN,2021.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,34000
52,AREA HARVESTED,MN,2020.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,50000
53,AREA HARVESTED,MN,2019.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,55000
54,AREA HARVESTED,MN,2018.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,67000
55,AREA HARVESTED,MN,2017.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,68000
56,AREA HARVESTED,MN,2016.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,79000
57,AREA HARVESTED,MN,2015.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,120000
58,AREA HARVESTED,MN,2014.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,60000
59,AREA HARVESTED,MN,2013.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,75000
60,AREA HARVESTED,MN,2012.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,110000
61,AREA HARVESTED,MN,2011.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,60000
62,AREA HARVESTED,MN,2010.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,70000
63,AREA HARVESTED,MN,2009.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,80000
64,AREA HARVESTED,MN,2008.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,110000
65,AREA HARVESTED,MN,2007.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,110000
66,AREA HARVESTED,MN,2006.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,90000
67,AREA HARVESTED,MN,2005.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,90000
68,AREA HARVESTED,MN,2004.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,115000
69,AREA HARVESTED,MN,2003.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,170000
70,AREA HARVESTED,MN,2002.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,150000
71,AREA HARVESTED,MN,2001.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,145000
72,AREA HARVESTED,MN,2000.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,240000
73,AREA HARVESTED,MN,1999.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,180000
74,AREA HARVESTED,MN,1998.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,415000
75,AREA HARVESTED,MN,1997.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,460000
76,AREA HARVESTED,NE,2004.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,3000
77,AREA HARVESTED,NE,2003.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,4000
78,AREA HARVESTED,NE,2002.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,4000
79,AREA HARVESTED,NE,2001.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,4000
80,AREA HARVESTED,NE,2000.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,5000
81,AREA HARVESTED,NE,1999.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,3000
82,AREA HARVESTED,NE,1998.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,8000
83,AREA HARVESTED,NE,1997.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,9000
84,AREA HARVESTED,NC,2022.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,11000
85,AREA HARVESTED,NC,2021.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,7000
86,AREA HARVESTED,NC,2020.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,8000
87,AREA HARVESTED,NC,2019.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,6000
88,AREA HARVESTED,NC,2018.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,8000
89,AREA HARVESTED,NC,2015.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,14000
90,AREA HARVESTED,NC,2014.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,15000
91,AREA HARVESTED,NC,2013.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,14000
92,AREA HARVESTED,NC,2012.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,17000
93,AREA HARVESTED,NC,2011.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,14000
94,AREA HARVESTED,NC,2010.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,15000
95,AREA HARVESTED,NC,2009.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,20000
96,AREA HARVESTED,NC,2008.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,15000
97,AREA HARVESTED,NC,2007.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,14000
98,AREA HARVESTED,NC,2006.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,17000
99,AREA HARVESTED,NC,2005.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,19000
100,AREA HARVESTED,NC,2004.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,15000
101,AREA HARVESTED,NC,2003.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,14000
102,AREA HARVESTED,NC,2002.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,17000
103,AREA HARVESTED,NC,2001.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,18000
104,AREA HARVESTED,NC,2000.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,18000
105,AREA HARVESTED,NC,1999.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,19000
106,AREA HARVESTED,NC,1998.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,20000
107,AREA HARVESTED,NC,1997.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,20000
108,AREA HARVESTED,TX,1999.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,10000
109,AREA HARVESTED,TX,1998.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,5000
110,AREA HARVESTED,TX,1997.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,5000
111,AREA HARVESTED,WI,2022.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,3000
112,AREA HARVESTED,WI,2021.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,7000
113,AREA HARVESTED,WI,2020.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,13000
114,AREA HARVESTED,WI,2019.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,8000
115,AREA HARVESTED,WI,2018.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,10000
116,AREA HARVESTED,WI,2015.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,15000
117,AREA HARVESTED,WI,2014.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,16000
118,AREA HARVESTED,WI,2013.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,16000
119,AREA HARVESTED,WI,2012.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,18000
120,AREA HARVESTED,WI,2011.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,15000
121,AREA HARVESTED,WI,2010.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,30000
122,AREA HARVESTED,WI,2009.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,25000
123,AREA HARVESTED,WI,2008.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,30000
124,AREA HARVESTED,WI,2007.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,23000
125,AREA HARVESTED,WI,2006.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,30000
126,AREA HARVESTED,WI,2005.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,30000
127,AREA HARVESTED,WI,2004.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,30000
128,AREA HARVESTED,WI,2003.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,35000
129,AREA HARVESTED,WI,2002.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,35000
130,AREA HARVESTED,WI,2001.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,35000
131,AREA HARVESTED,WI,2000.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,50000
132,AREA HARVESTED,WI,1999.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,65000
133,AREA HARVESTED,WI,1998.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,65000
134,AREA HARVESTED,WI,1997.0,ALL CLASSES,BARLEY - ACRES HARVESTED,FIELD CROPS,BARLEY,65000
135,AREA PLANTED,CA,2023.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,35000
136,AREA PLANTED,CA,2022.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,40000
137,AREA PLANTED,CA,2021.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,40000
138,AREA PLANTED,CA,2020.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,60000
139,AREA PLANTED,CA,2019.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,65000
140,AREA PLANTED,CA,2018.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,65000
141,AREA PLANTED,CA,2017.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,75000
142,AREA PLANTED,CA,2016.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,85000
143,AREA PLANTED,CA,2015.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,80000
144,AREA PLANTED,CA,2014.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,80000
145,AREA PLANTED,CA,2013.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,95000
146,AREA PLANTED,CA,2012.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,120000
147,AREA PLANTED,CA,2011.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,100000
148,AREA PLANTED,CA,2010.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,110000
149,AREA PLANTED,CA,2009.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,90000
150,AREA PLANTED,CA,2008.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,95000
151,AREA PLANTED,CA,2007.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,85000
152,AREA PLANTED,CA,2006.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,90000
153,AREA PLANTED,CA,2005.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,100000
154,AREA PLANTED,CA,2004.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,110000
155,AREA PLANTED,CA,2003.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,100000
156,AREA PLANTED,CA,2002.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,130000
157,AREA PLANTED,CA,2001.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,160000
158,AREA PLANTED,CA,2000.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,130000
159,AREA PLANTED,CA,1999.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,140000
160,AREA PLANTED,CA,1998.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,170000
161,AREA PLANTED,CA,1997.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,230000
162,AREA PLANTED,KS,2023.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,12000
163,AREA PLANTED,KS,2022.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,15000
164,AREA PLANTED,KS,2021.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,14000
165,AREA PLANTED,KS,2020.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,16000
166,AREA PLANTED,KS,2019.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,14000
167,AREA PLANTED,KS,2018.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,17000
168,AREA PLANTED,KS,2015.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,13000
169,AREA PLANTED,KS,2014.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,16000
170,AREA PLANTED,KS,2013.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,17000
171,AREA PLANTED,KS,2012.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,10000
172,AREA PLANTED,KS,2011.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,9000
173,AREA PLANTED,KS,2010.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,10000
174,AREA PLANTED,KS,2009.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,14000
175,AREA PLANTED,KS,2008.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,17000
176,AREA PLANTED,KS,2007.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,20000
177,AREA PLANTED,KS,2006.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,24000
178,AREA PLANTED,KS,2005.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,19000
179,AREA PLANTED,KS,2004.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,15000
180,AREA PLANTED,KS,2003.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,9000
181,AREA PLANTED,KS,2002.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,8000
182,AREA PLANTED,KS,2001.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,9000
183,AREA PLANTED,KS,2000.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,8000
184,AREA PLANTED,KS,1999.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,16000
185,AREA PLANTED,KS,1998.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,8000
186,AREA PLANTED,KS,1997.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,10000
187,AREA PLANTED,MN,2023.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,55000
188,AREA PLANTED,MN,2022.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,65000
189,AREA PLANTED,MN,2021.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,55000
190,AREA PLANTED,MN,2020.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,70000
191,AREA PLANTED,MN,2019.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,70000
192,AREA PLANTED,MN,2018.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,80000
193,AREA PLANTED,MN,2017.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,80000
194,AREA PLANTED,MN,2016.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,95000
195,AREA PLANTED,MN,2015.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,135000
196,AREA PLANTED,MN,2014.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,75000
197,AREA PLANTED,MN,2013.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,90000
198,AREA PLANTED,MN,2012.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,120000
199,AREA PLANTED,MN,2011.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,70000
200,AREA PLANTED,MN,2010.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,85000
201,AREA PLANTED,MN,2009.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,95000
202,AREA PLANTED,MN,2008.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,125000
203,AREA PLANTED,MN,2007.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,130000
204,AREA PLANTED,MN,2006.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,105000
205,AREA PLANTED,MN,2005.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,125000
206,AREA PLANTED,MN,2004.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,130000
207,AREA PLANTED,MN,2003.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,190000
208,AREA PLANTED,MN,2002.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,190000
209,AREA PLANTED,MN,2001.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,160000
210,AREA PLANTED,MN,2000.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,270000
211,AREA PLANTED,MN,1999.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,200000
212,AREA PLANTED,MN,1998.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,440000
213,AREA PLANTED,MN,1997.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,500000
214,AREA PLANTED,NE,2004.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,6000
215,AREA PLANTED,NE,2003.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,6000
216,AREA PLANTED,NE,2002.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,6000
217,AREA PLANTED,NE,2001.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,5000
218,AREA PLANTED,NE,2000.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,7000
219,AREA PLANTED,NE,1999.0,ALL CLASSES,BARLEY - ACRES PLANTED,FIELD CROPS,BARLEY,5000
